GFX File: Graphics\Alice.gfx
Sub-sprite Count: 174

Sprite #000: x=161, y=97, w=30, h=51
Sprite #001: x=8, y=9, w=45, h=61
Sprite #002: x=0, y=0, w=392, h=192
Sprite #003: x=27, y=51, w=9, h=9
Sprite #004: x=45, y=61, w=0, h=0
Sprite #005: x=557, y=146, w=29, h=50
Sprite #006: x=8, y=10, w=45, h=61
Sprite #007: x=0, y=0, w=419, h=192
Sprite #008: x=27, y=51, w=9, h=9
Sprite #009: x=45, y=61, w=0, h=0
Sprite #010: x=586, y=146, w=29, h=50
Sprite #011: x=8, y=10, w=45, h=61
Sprite #012: x=0, y=0, w=237, h=200
Sprite #013: x=27, y=49, w=10, h=11
Sprite #014: x=45, y=61, w=0, h=0
Sprite #015: x=577, y=296, w=21, h=51
Sprite #016: x=11, y=10, w=45, h=61
Sprite #017: x=0, y=0, w=264, h=200
Sprite #018: x=27, y=49, w=10, h=11
Sprite #019: x=45, y=61, w=0, h=0
Sprite #020: x=617, y=96, w=22, h=50
Sprite #021: x=10, y=10, w=45, h=61
Sprite #022: x=0, y=0, w=291, h=200
Sprite #023: x=27, y=49, w=9, h=11
Sprite #024: x=45, y=61, w=0, h=0
Sprite #025: x=55, y=199, w=29, h=47
Sprite #026: x=8, y=13, w=45, h=61
Sprite #027: x=0, y=0, w=361, h=200
Sprite #028: x=27, y=49, w=9, h=11
Sprite #029: x=45, y=61, w=0, h=0
Sprite #030: x=208, y=199, w=29, h=47
Sprite #031: x=8, y=13, w=45, h=61
Sprite #032: x=0, y=0, w=502, h=240
Sprite #033: x=27, y=49, w=8, h=11
Sprite #034: x=45, y=61, w=0, h=0
Sprite #035: x=598, y=296, w=21, h=51
Sprite #036: x=13, y=10, w=45, h=61
Sprite #037: x=0, y=0, w=388, h=243
Sprite #038: x=27, y=49, w=8, h=11
Sprite #039: x=45, y=61, w=0, h=0
Sprite #040: x=335, y=294, w=22, h=50
Sprite #041: x=13, y=10, w=45, h=61
Sprite #042: x=0, y=0, w=549, h=196
Sprite #043: x=27, y=51, w=9, h=9
Sprite #044: x=45, y=61, w=0, h=0
Sprite #045: x=576, y=196, w=27, h=51
Sprite #046: x=9, y=9, w=45, h=61
Sprite #047: x=0, y=0, w=334, h=199
Sprite #048: x=27, y=50, w=9, h=10
Sprite #049: x=45, y=61, w=0, h=0
Sprite #050: x=603, y=196, w=27, h=51
Sprite #051: x=9, y=9, w=45, h=61
Sprite #052: x=0, y=0, w=475, h=199
Sprite #053: x=27, y=50, w=9, h=10
Sprite #054: x=45, y=61, w=0, h=0
Sprite #055: x=334, y=150, w=29, h=49
Sprite #056: x=10, y=11, w=45, h=61
Sprite #057: x=0, y=0, w=250, h=149
Sprite #058: x=28, y=51, w=11, h=10
Sprite #059: x=45, y=61, w=0, h=0
Sprite #060: x=463, y=150, w=29, h=49
Sprite #061: x=10, y=11, w=45, h=61
Sprite #062: x=0, y=0, w=121, h=147
Sprite #063: x=29, y=50, w=10, h=10
Sprite #064: x=45, y=61, w=0, h=0
Sprite #065: x=415, y=243, w=27, h=49
Sprite #066: x=9, y=11, w=45, h=61
Sprite #067: x=0, y=0, w=227, h=249
Sprite #068: x=27, y=47, w=9, h=13
Sprite #069: x=45, y=61, w=0, h=0
Sprite #070: x=84, y=245, w=27, h=49
Sprite #071: x=9, y=11, w=45, h=61
Sprite #072: x=0, y=0, w=254, h=249
Sprite #073: x=27, y=47, w=9, h=13
Sprite #074: x=45, y=61, w=0, h=0
Sprite #075: x=492, y=150, w=29, h=49
Sprite #076: x=6, y=11, w=45, h=61
Sprite #077: x=0, y=0, w=278, h=149
Sprite #078: x=28, y=51, w=6, h=10
Sprite #079: x=45, y=61, w=0, h=0
Sprite #080: x=179, y=151, w=29, h=49
Sprite #081: x=6, y=11, w=45, h=61
Sprite #082: x=0, y=0, w=150, h=148
Sprite #083: x=29, y=50, w=6, h=10
Sprite #084: x=45, y=61, w=0, h=0
Sprite #085: x=216, y=0, w=34, h=51
Sprite #086: x=9, y=9, w=45, h=61
Sprite #087: x=0, y=0, w=250, h=0
Sprite #088: x=34, y=51, w=9, h=9
Sprite #089: x=45, y=61, w=0, h=0
Sprite #090: x=142, y=47, w=34, h=50
Sprite #091: x=9, y=10, w=45, h=61
Sprite #092: x=0, y=0, w=284, h=0
Sprite #093: x=34, y=51, w=9, h=9
Sprite #094: x=45, y=61, w=0, h=0
Sprite #095: x=176, y=47, w=34, h=50
Sprite #096: x=9, y=10, w=45, h=61
Sprite #097: x=0, y=0, w=274, h=51
Sprite #098: x=33, y=49, w=10, h=11
Sprite #099: x=45, y=61, w=0, h=0
Sprite #100: x=66, y=50, w=32, h=51
Sprite #101: x=11, y=10, w=45, h=61
