GFX File: Graphics\Interface.gfx
Sub-sprite Count: 47

Sprite #000: x=110, y=85, w=51, h=195
Sprite #001: x=0, y=0, w=51, h=195
Sprite #002: x=0, y=0, w=524, h=104
Sprite #003: x=45, y=49, w=0, h=5
Sprite #004: x=51, y=59, w=0, h=0
Sprite #005: x=529, y=202, w=45, h=21
Sprite #006: x=0, y=5, w=51, h=59
Sprite #007: x=0, y=0, w=569, h=104
Sprite #008: x=44, y=47, w=0, h=0
Sprite #009: x=44, y=47, w=0, h=0
Sprite #010: x=402, y=145, w=44, h=47
Sprite #011: x=0, y=0, w=44, h=47
Sprite #012: x=0, y=0, w=243, h=104
Sprite #013: x=51, y=139, w=0, h=0
Sprite #014: x=51, y=139, w=0, h=0
Sprite #015: x=467, y=196, w=31, h=31
Sprite #016: x=0, y=0, w=31, h=31
Sprite #017: x=0, y=0, w=498, h=196
Sprite #018: x=31, y=31, w=0, h=0
Sprite #019: x=31, y=31, w=0, h=0
Sprite #020: x=601, y=197, w=31, h=30
Sprite #021: x=0, y=0, w=31, h=31
Sprite #022: x=0, y=0, w=0, h=207
Sprite #023: x=44, y=19, w=0, h=0
Sprite #024: x=44, y=19, w=0, h=0
Sprite #025: x=446, y=145, w=44, h=47
Sprite #026: x=0, y=0, w=44, h=47
Sprite #027: x=0, y=0, w=161, h=104
Sprite #028: x=82, y=88, w=0, h=0
Sprite #029: x=82, y=88, w=0, h=0
Sprite #030: x=161, y=192, w=52, h=25
Sprite #031: x=0, y=0, w=52, h=25
Sprite #032: x=0, y=0, w=490, h=153
Sprite #033: x=72, y=25, w=0, h=0
Sprite #034: x=72, y=25, w=0, h=0
Sprite #035: x=628, y=0, w=9, h=29
Sprite #036: x=0, y=0, w=9, h=29
Sprite #037: x=0, y=0, w=294, h=104
Sprite #038: x=54, y=67, w=0, h=0
Sprite #039: x=54, y=67, w=0, h=0
Sprite #040: x=348, y=104, w=54, h=67
Sprite #041: x=0, y=0, w=54, h=67
Sprite #042: x=0, y=0, w=635, h=65
Sprite #043: x=2, y=50, w=0, h=0
Sprite #044: x=2, y=50, w=0, h=0
Sprite #045: x=402, y=104, w=61, h=41
Sprite #046: x=0, y=0, w=61, h=41
