GFX File: Graphics\Market.gfx
Sub-sprite Count: 199

Sprite #000: x=0, y=0, w=391, h=166
Sprite #001: x=0, y=0, w=391, h=166
Sprite #002: x=0, y=0, w=0, h=265
Sprite #003: x=391, y=18, w=0, h=0
Sprite #004: x=391, y=18, w=0, h=0
Sprite #005: x=109, y=177, w=391, h=24
Sprite #006: x=0, y=0, w=391, h=24
Sprite #007: x=0, y=0, w=20, h=359
Sprite #008: x=21, y=16, w=0, h=0
Sprite #009: x=21, y=16, w=0, h=0
Sprite #010: x=161, y=373, w=13, h=15
Sprite #011: x=0, y=0, w=13, h=15
Sprite #012: x=0, y=0, w=174, h=373
Sprite #013: x=13, y=15, w=0, h=0
Sprite #014: x=13, y=15, w=0, h=0
Sprite #015: x=258, y=314, w=72, h=7
Sprite #016: x=0, y=0, w=72, h=7
Sprite #017: x=0, y=0, w=591, h=168
Sprite #018: x=4, y=7, w=0, h=0
Sprite #019: x=4, y=7, w=0, h=0
Sprite #020: x=638, y=133, w=1, h=1
Sprite #021: x=0, y=0, w=4, h=7
Sprite #022: x=0, y=0, w=200, h=375
Sprite #023: x=12, y=11, w=1, h=2
Sprite #024: x=14, y=14, w=0, h=0
Sprite #025: x=629, y=254, w=11, h=11
Sprite #026: x=1, y=1, w=14, h=14
Sprite #027: x=0, y=0, w=627, h=340
Sprite #028: x=13, y=13, w=1, h=1
Sprite #029: x=14, y=14, w=0, h=0
Sprite #030: x=629, y=265, w=11, h=11
Sprite #031: x=1, y=1, w=14, h=14
Sprite #032: x=0, y=0, w=614, h=143
Sprite #033: x=14, y=14, w=0, h=0
Sprite #034: x=14, y=14, w=0, h=0
Sprite #035: x=337, y=248, w=14, h=14
Sprite #036: x=0, y=0, w=14, h=14
Sprite #037: x=0, y=0, w=37, h=375
Sprite #038: x=14, y=13, w=0, h=1
Sprite #039: x=14, y=14, w=0, h=0
Sprite #040: x=532, y=331, w=13, h=12
Sprite #041: x=0, y=1, w=14, h=14
Sprite #042: x=0, y=0, w=629, h=224
Sprite #043: x=11, y=14, w=2, h=0
Sprite #044: x=14, y=14, w=0, h=0
Sprite #045: x=65, y=375, w=13, h=12
Sprite #046: x=0, y=1, w=14, h=14
Sprite #047: x=0, y=0, w=628, h=143
Sprite #048: x=12, y=13, w=1, h=0
Sprite #049: x=14, y=14, w=0, h=0
Sprite #050: x=377, y=283, w=12, h=13
Sprite #051: x=1, y=0, w=14, h=14
Sprite #052: x=0, y=0, w=78, h=375
Sprite #053: x=12, y=13, w=1, h=1
Sprite #054: x=14, y=14, w=0, h=0
Sprite #055: x=51, y=375, w=14, h=13
Sprite #056: x=0, y=0, w=14, h=14
Sprite #057: x=0, y=0, w=241, h=375
Sprite #058: x=9, y=12, w=3, h=1
Sprite #059: x=14, y=14, w=0, h=0
Sprite #060: x=502, y=355, w=23, h=22
Sprite #061: x=0, y=0, w=23, h=22
Sprite #062: x=0, y=0, w=594, h=320
Sprite #063: x=28, y=22, w=0, h=0
Sprite #064: x=28, y=22, w=0, h=0
Sprite #065: x=614, y=113, w=24, h=30
Sprite #066: x=0, y=0, w=24, h=30
Sprite #067: x=0, y=0, w=222, h=339
Sprite #068: x=24, y=30, w=0, h=0
Sprite #069: x=24, y=30, w=0, h=0
Sprite #070: x=291, y=377, w=6, h=13
Sprite #071: x=3, y=3, w=12, h=17
Sprite #072: x=0, y=0, w=374, h=383
Sprite #073: x=4, y=14, w=4, h=2
Sprite #074: x=12, y=17, w=0, h=0
Sprite #075: x=297, y=377, w=6, h=13
Sprite #076: x=3, y=3, w=12, h=17
Sprite #077: x=0, y=0, w=378, h=383
Sprite #078: x=4, y=14, w=4, h=2
Sprite #079: x=12, y=17, w=0, h=0
Sprite #080: x=633, y=156, w=6, h=14
Sprite #081: x=3, y=2, w=12, h=17
Sprite #082: x=0, y=0, w=633, h=170
Sprite #083: x=6, y=14, w=3, h=2
Sprite #084: x=12, y=17, w=0, h=0
Sprite #085: x=633, y=184, w=6, h=14
Sprite #086: x=3, y=2, w=12, h=17
Sprite #087: x=0, y=0, w=633, h=198
Sprite #088: x=6, y=14, w=3, h=2
Sprite #089: x=12, y=17, w=0, h=0
Sprite #090: x=565, y=355, w=20, h=23
Sprite #091: x=0, y=0, w=20, h=23
Sprite #092: x=0, y=0, w=585, h=355
Sprite #093: x=20, y=23, w=0, h=0
Sprite #094: x=20, y=23, w=0, h=0
Sprite #095: x=430, y=381, w=6, h=11
Sprite #096: x=3, y=5, w=12, h=17
Sprite #097: x=0, y=0, w=105, h=359
Sprite #098: x=4, y=12, w=4, h=4
Sprite #099: x=12, y=17, w=0, h=0
Sprite #100: x=478, y=381, w=6, h=11
Sprite #101: x=3, y=5, w=12, h=17
Sprite #102: x=0, y=0, w=382, h=383
Sprite #103: x=4, y=12, w=4, h=4
Sprite #104: x=12, y=17, w=0, h=0
Sprite #105: x=498, y=377, w=6, h=12
Sprite #106: x=3, y=4, w=12, h=17
Sprite #107: x=0, y=0, w=504, h=377
Sprite #108: x=6, y=12, w=3, h=4
Sprite #109: x=12, y=17, w=0, h=0
Sprite #110: x=510, y=377, w=6, h=12
Sprite #111: x=3, y=4, w=12, h=17
Sprite #112: x=0, y=0, w=516, h=377
Sprite #113: x=6, y=12, w=3, h=4
Sprite #114: x=12, y=17, w=0, h=0
Sprite #115: x=199, y=349, w=20, h=26
