GFX File: Graphics\OptionSprites.gfx
Sub-sprite Count: 252

Sprite #000: x=571, y=0, w=47, h=43
Sprite #001: x=0, y=0, w=47, h=43
Sprite #002: x=0, y=0, w=571, h=43
Sprite #003: x=37, y=34, w=0, h=0
Sprite #004: x=37, y=34, w=0, h=0
Sprite #005: x=130, y=94, w=163, h=34
Sprite #006: x=0, y=0, w=163, h=34
Sprite #007: x=0, y=0, w=286, h=44
Sprite #008: x=150, y=34, w=0, h=0
Sprite #009: x=150, y=34, w=0, h=0
Sprite #010: x=442, y=0, w=78, h=82
Sprite #011: x=0, y=0, w=78, h=82
Sprite #012: x=0, y=0, w=130, h=82
Sprite #013: x=481, y=12, w=0, h=0
Sprite #014: x=481, y=12, w=0, h=0
Sprite #015: x=557, y=51, w=12, h=12
Sprite #016: x=0, y=0, w=12, h=12
Sprite #017: x=0, y=0, w=618, h=16
Sprite #018: x=16, y=12, w=0, h=0
Sprite #019: x=16, y=12, w=0, h=0
Sprite #020: x=130, y=59, w=12, h=12
Sprite #021: x=0, y=0, w=12, h=12
Sprite #022: x=0, y=0, w=520, h=51
Sprite #023: x=12, y=16, w=0, h=0
Sprite #024: x=12, y=16, w=0, h=0
Sprite #025: x=618, y=0, w=16, h=16
Sprite #026: x=0, y=0, w=16, h=16
Sprite #027: x=0, y=0, w=532, h=51
Sprite #028: x=12, y=16, w=0, h=0
Sprite #029: x=12, y=16, w=0, h=0
Sprite #030: x=142, y=59, w=12, h=12
Sprite #031: x=0, y=0, w=12, h=12
Sprite #032: x=0, y=0, w=618, h=28
Sprite #033: x=16, y=12, w=0, h=0
Sprite #034: x=16, y=12, w=0, h=0
Sprite #035: x=154, y=59, w=12, h=12
Sprite #036: x=0, y=0, w=12, h=12
Sprite #037: x=0, y=0, w=293, h=94
Sprite #038: x=36, y=32, w=0, h=0
Sprite #039: x=36, y=32, w=0, h=0
Sprite #040: x=329, y=94, w=33, h=31
Sprite #041: x=0, y=0, w=33, h=31
Sprite #042: x=0, y=0, w=608, h=43
