GFX File: Graphics\Sprites.gfx
Sub-sprite Count: 622

Sprite #000: x=275, y=243, w=6, h=6
Sprite #001: x=0, y=0, w=6, h=6
Sprite #002: x=0, y=0, w=559, h=87
Sprite #003: x=9, y=25, w=0, h=0
Sprite #004: x=9, y=25, w=0, h=0
Sprite #005: x=257, y=390, w=20, h=14
Sprite #006: x=0, y=0, w=21, h=14
Sprite #007: x=0, y=0, w=451, h=380
Sprite #008: x=25, y=17, w=0, h=0
Sprite #009: x=25, y=17, w=0, h=0
Sprite #010: x=133, y=327, w=5, h=6
Sprite #011: x=0, y=0, w=5, h=6
Sprite #012: x=0, y=0, w=316, h=327
Sprite #013: x=5, y=6, w=0, h=0
Sprite #014: x=5, y=6, w=0, h=0
Sprite #015: x=178, y=346, w=20, h=23
Sprite #016: x=0, y=4, w=20, h=27
Sprite #017: x=0, y=0, w=422, h=390
Sprite #018: x=17, y=16, w=9, h=10
Sprite #019: x=33, y=32, w=0, h=0
Sprite #020: x=601, y=163, w=7, h=10
Sprite #021: x=12, y=12, w=33, h=32
Sprite #022: x=0, y=0, w=357, h=389
Sprite #023: x=18, y=18, w=7, h=7
Sprite #024: x=33, y=32, w=0, h=0
Sprite #025: x=530, y=296, w=24, h=24
Sprite #026: x=5, y=4, w=33, h=32
Sprite #027: x=0, y=0, w=340, h=166
Sprite #028: x=33, y=31, w=0, h=0
Sprite #029: x=33, y=32, w=0, h=0
Sprite #030: x=601, y=175, w=33, h=31
Sprite #031: x=0, y=0, w=33, h=32
Sprite #032: x=0, y=0, w=304, h=176
Sprite #033: x=33, y=31, w=0, h=0
Sprite #034: x=33, y=32, w=0, h=0
Sprite #035: x=373, y=179, w=33, h=31
Sprite #036: x=0, y=0, w=33, h=32
Sprite #037: x=0, y=0, w=639, h=0
Sprite #038: x=1, y=1, w=0, h=0
Sprite #039: x=33, y=32, w=0, h=0
Sprite #040: x=50, y=234, w=12, h=5
Sprite #041: x=0, y=0, w=12, h=5
Sprite #042: x=0, y=0, w=425, h=241
Sprite #043: x=9, y=5, w=0, h=0
Sprite #044: x=9, y=5, w=0, h=0
Sprite #045: x=574, y=255, w=9, h=5
Sprite #046: x=0, y=0, w=9, h=5
Sprite #047: x=0, y=0, w=147, h=367
Sprite #048: x=19, y=23, w=0, h=4
Sprite #049: x=20, y=27, w=0, h=0
Sprite #050: x=547, y=391, w=17, h=16
Sprite #051: x=9, y=10, w=33, h=32
Sprite #052: x=0, y=0, w=601, h=163
Sprite #053: x=7, y=10, w=12, h=12
Sprite #054: x=33, y=32, w=0, h=1
Sprite #055: x=357, y=389, w=18, h=18
Sprite #056: x=7, y=7, w=33, h=32
Sprite #057: x=0, y=1, w=530, h=296
Sprite #058: x=24, y=24, w=5, h=4
Sprite #059: x=33, y=32, w=0, h=1
Sprite #060: x=340, y=166, w=33, h=31
Sprite #061: x=0, y=0, w=33, h=32
Sprite #062: x=0, y=1, w=406, h=179
Sprite #063: x=33, y=31, w=0, h=0
Sprite #064: x=33, y=32, w=0, h=0
Sprite #065: x=186, y=180, w=33, h=31
Sprite #066: x=0, y=0, w=33, h=32
Sprite #067: x=0, y=0, w=219, h=180
Sprite #068: x=33, y=31, w=0, h=0
Sprite #069: x=33, y=32, w=0, h=0
Sprite #070: x=639, y=0, w=1, h=1
Sprite #071: x=0, y=0, w=33, h=32
Sprite #072: x=0, y=1, w=71, h=263
Sprite #073: x=12, y=5, w=0, h=0
Sprite #074: x=12, y=5, w=0, h=0
Sprite #075: x=158, y=305, w=9, h=5
Sprite #076: x=0, y=0, w=9, h=5
Sprite #077: x=0, y=0, w=233, h=309
Sprite #078: x=9, y=5, w=0, h=0
Sprite #079: x=9, y=5, w=0, h=0
Sprite #080: x=392, y=348, w=20, h=23
Sprite #081: x=0, y=4, w=20, h=27
Sprite #082: x=0, y=0, w=244, h=297
Sprite #083: x=25, y=23, w=4, h=13
Sprite #084: x=33, y=49, w=0, h=0
Sprite #085: x=169, y=275, w=26, h=26
Sprite #086: x=4, y=10, w=33, h=49
Sprite #087: x=0, y=0, w=87, h=241
Sprite #088: x=28, y=29, w=3, h=7
Sprite #089: x=33, y=49, w=0, h=0
Sprite #090: x=222, y=211, w=31, h=32
Sprite #091: x=2, y=4, w=33, h=49
Sprite #092: x=0, y=0, w=208, h=144
Sprite #093: x=32, y=36, w=1, h=0
Sprite #094: x=33, y=49, w=0, h=0
Sprite #095: x=240, y=144, w=32, h=36
Sprite #096: x=1, y=0, w=33, h=49
Sprite #097: x=0, y=0, w=272, h=144
Sprite #098: x=32, y=36, w=1, h=0
Sprite #099: x=33, y=49, w=0, h=0
