GFX File: TileSets\Tiles.gfx
Sub-sprite Count: 320

Sprite #000: x=0, y=0, w=0, h=0
Sprite #001: x=0, y=0, w=0, h=0
Sprite #002: x=0, y=0, w=0, h=0
Sprite #003: x=32, y=32, w=0, h=0
Sprite #004: x=0, y=0, w=2, h=7
Sprite #005: x=32, y=0, w=32, h=32
Sprite #006: x=0, y=0, w=0, h=0
Sprite #007: x=2, y=7, w=0, h=0
Sprite #008: x=0, y=0, w=0, h=0
Sprite #009: x=0, y=0, w=0, h=7
Sprite #010: x=64, y=0, w=32, h=32
Sprite #011: x=0, y=0, w=0, h=0
Sprite #012: x=2, y=7, w=0, h=0
Sprite #013: x=0, y=0, w=0, h=0
Sprite #014: x=0, y=0, w=0, h=7
Sprite #015: x=0, y=0, w=0, h=0
Sprite #016: x=0, y=0, w=0, h=0
Sprite #017: x=0, y=7, w=0, h=0
Sprite #018: x=0, y=0, w=0, h=0
Sprite #019: x=0, y=0, w=0, h=7
Sprite #020: x=0, y=0, w=0, h=0
Sprite #021: x=0, y=0, w=0, h=0
Sprite #022: x=0, y=7, w=0, h=0
Sprite #023: x=0, y=0, w=0, h=0
Sprite #024: x=0, y=0, w=0, h=7
Sprite #025: x=0, y=0, w=0, h=0
Sprite #026: x=0, y=0, w=0, h=0
Sprite #027: x=0, y=7, w=0, h=0
Sprite #028: x=0, y=0, w=0, h=0
Sprite #029: x=0, y=0, w=0, h=0
Sprite #030: x=96, y=0, w=32, h=32
Sprite #031: x=0, y=0, w=0, h=0
Sprite #032: x=2, y=0, w=128, h=0
Sprite #033: x=32, y=32, w=0, h=0
Sprite #034: x=0, y=0, w=2, h=0
Sprite #035: x=160, y=0, w=32, h=32
Sprite #036: x=0, y=0, w=0, h=0
Sprite #037: x=2, y=0, w=192, h=0
Sprite #038: x=32, y=32, w=0, h=0
Sprite #039: x=0, y=0, w=2, h=0
Sprite #040: x=224, y=0, w=32, h=32
Sprite #041: x=0, y=0, w=0, h=0
Sprite #042: x=2, y=0, w=256, h=0
Sprite #043: x=32, y=32, w=0, h=0
Sprite #044: x=0, y=0, w=2, h=0
Sprite #045: x=288, y=0, w=32, h=32
Sprite #046: x=0, y=0, w=0, h=0
Sprite #047: x=2, y=0, w=320, h=0
Sprite #048: x=32, y=32, w=0, h=0
Sprite #049: x=0, y=0, w=2, h=0
Sprite #050: x=0, y=0, w=0, h=0
Sprite #051: x=0, y=0, w=0, h=0
Sprite #052: x=0, y=0, w=352, h=0
Sprite #053: x=32, y=32, w=0, h=0
Sprite #054: x=0, y=0, w=2, h=7
Sprite #055: x=384, y=0, w=32, h=32
Sprite #056: x=0, y=0, w=0, h=0
Sprite #057: x=2, y=7, w=416, h=0
Sprite #058: x=32, y=32, w=0, h=0
Sprite #059: x=0, y=0, w=2, h=7
Sprite #060: x=448, y=0, w=32, h=32
Sprite #061: x=0, y=0, w=0, h=0
Sprite #062: x=2, y=7, w=0, h=0
Sprite #063: x=0, y=0, w=0, h=0
Sprite #064: x=0, y=0, w=0, h=7
Sprite #065: x=0, y=0, w=0, h=0
Sprite #066: x=0, y=0, w=0, h=0
Sprite #067: x=0, y=7, w=0, h=0
Sprite #068: x=0, y=0, w=0, h=0
Sprite #069: x=0, y=0, w=0, h=7
Sprite #070: x=0, y=0, w=0, h=0
Sprite #071: x=0, y=0, w=0, h=0
Sprite #072: x=0, y=7, w=0, h=0
Sprite #073: x=0, y=0, w=0, h=0
Sprite #074: x=0, y=0, w=0, h=7
Sprite #075: x=0, y=0, w=0, h=0
Sprite #076: x=0, y=0, w=0, h=0
Sprite #077: x=0, y=7, w=0, h=0
Sprite #078: x=0, y=0, w=0, h=0
Sprite #079: x=0, y=0, w=0, h=0
Sprite #080: x=480, y=0, w=32, h=32
Sprite #081: x=0, y=0, w=0, h=0
Sprite #082: x=2, y=0, w=512, h=0
Sprite #083: x=32, y=32, w=0, h=0
Sprite #084: x=0, y=0, w=2, h=0
Sprite #085: x=544, y=0, w=32, h=32
Sprite #086: x=0, y=0, w=0, h=0
Sprite #087: x=2, y=0, w=576, h=0
Sprite #088: x=32, y=32, w=0, h=0
Sprite #089: x=0, y=0, w=2, h=0
Sprite #090: x=608, y=0, w=32, h=32
Sprite #091: x=0, y=0, w=0, h=0
Sprite #092: x=2, y=0, w=0, h=32
Sprite #093: x=32, y=32, w=0, h=0
Sprite #094: x=0, y=0, w=2, h=0
Sprite #095: x=32, y=32, w=32, h=32
Sprite #096: x=0, y=0, w=0, h=0
Sprite #097: x=2, y=0, w=64, h=32
Sprite #098: x=32, y=32, w=0, h=0
Sprite #099: x=0, y=0, w=2, h=0
Sprite #100: x=0, y=0, w=0, h=0
Sprite #101: x=0, y=0, w=0, h=0
Sprite #102: x=0, y=0, w=96, h=32
Sprite #103: x=32, y=32, w=0, h=0
Sprite #104: x=0, y=0, w=2, h=7
Sprite #105: x=128, y=32, w=32, h=32
Sprite #106: x=0, y=0, w=0, h=0
Sprite #107: x=2, y=0, w=0, h=0
Sprite #108: x=0, y=0, w=0, h=0
Sprite #109: x=0, y=0, w=0, h=0
Sprite #110: x=160, y=32, w=32, h=32
Sprite #111: x=0, y=0, w=0, h=0
Sprite #112: x=2, y=7, w=0, h=0
Sprite #113: x=0, y=0, w=0, h=0
Sprite #114: x=0, y=0, w=0, h=7
Sprite #115: x=0, y=0, w=0, h=0
Sprite #116: x=0, y=0, w=0, h=0
Sprite #117: x=0, y=7, w=0, h=0
Sprite #118: x=0, y=0, w=0, h=0
Sprite #119: x=0, y=0, w=0, h=7
Sprite #120: x=0, y=0, w=0, h=0
Sprite #121: x=0, y=0, w=0, h=0
Sprite #122: x=0, y=7, w=0, h=0
Sprite #123: x=0, y=0, w=0, h=0
Sprite #124: x=0, y=0, w=0, h=0
Sprite #125: x=0, y=0, w=0, h=0
Sprite #126: x=0, y=0, w=0, h=0
Sprite #127: x=0, y=7, w=0, h=0
Sprite #128: x=0, y=0, w=0, h=0
Sprite #129: x=0, y=0, w=0, h=0
Sprite #130: x=0, y=0, w=0, h=0
Sprite #131: x=0, y=0, w=0, h=0
Sprite #132: x=0, y=0, w=192, h=32
Sprite #133: x=32, y=32, w=0, h=0
Sprite #134: x=0, y=0, w=2, h=0
Sprite #135: x=224, y=32, w=32, h=32
Sprite #136: x=0, y=0, w=0, h=0
Sprite #137: x=2, y=0, w=256, h=32
Sprite #138: x=32, y=32, w=0, h=0
Sprite #139: x=0, y=0, w=2, h=0
Sprite #140: x=288, y=32, w=32, h=32
Sprite #141: x=0, y=0, w=0, h=0
Sprite #142: x=2, y=0, w=320, h=32
Sprite #143: x=32, y=32, w=0, h=0
Sprite #144: x=0, y=0, w=2, h=0
Sprite #145: x=352, y=32, w=32, h=32
Sprite #146: x=0, y=0, w=0, h=0
Sprite #147: x=2, y=0, w=0, h=0
Sprite #148: x=0, y=0, w=0, h=0
Sprite #149: x=0, y=0, w=0, h=0
Sprite #150: x=0, y=0, w=0, h=0
Sprite #151: x=0, y=0, w=0, h=0
Sprite #152: x=0, y=0, w=384, h=32
Sprite #153: x=32, y=32, w=0, h=0
Sprite #154: x=0, y=0, w=2, h=7
Sprite #155: x=416, y=32, w=32, h=32
Sprite #156: x=0, y=0, w=0, h=0
Sprite #157: x=2, y=0, w=0, h=0
Sprite #158: x=0, y=0, w=0, h=0
Sprite #159: x=0, y=0, w=0, h=0
Sprite #160: x=0, y=0, w=0, h=0
Sprite #161: x=0, y=0, w=0, h=0
Sprite #162: x=0, y=7, w=0, h=0
Sprite #163: x=0, y=0, w=0, h=0
Sprite #164: x=0, y=0, w=0, h=0
Sprite #165: x=0, y=0, w=0, h=0
Sprite #166: x=0, y=0, w=0, h=0
Sprite #167: x=0, y=0, w=0, h=0
Sprite #168: x=0, y=0, w=0, h=0
Sprite #169: x=0, y=0, w=0, h=0
Sprite #170: x=0, y=0, w=0, h=0
Sprite #171: x=0, y=0, w=0, h=0
Sprite #172: x=0, y=0, w=0, h=0
Sprite #173: x=0, y=0, w=0, h=0
Sprite #174: x=0, y=0, w=0, h=0
Sprite #175: x=0, y=0, w=0, h=0
Sprite #176: x=0, y=0, w=0, h=0
Sprite #177: x=0, y=0, w=0, h=0
Sprite #178: x=0, y=0, w=0, h=0
Sprite #179: x=0, y=0, w=0, h=0
Sprite #180: x=0, y=0, w=0, h=0
Sprite #181: x=0, y=0, w=0, h=0
Sprite #182: x=0, y=0, w=448, h=32
Sprite #183: x=32, y=32, w=0, h=0
Sprite #184: x=0, y=0, w=2, h=0
Sprite #185: x=480, y=32, w=32, h=32
Sprite #186: x=0, y=0, w=0, h=0
Sprite #187: x=2, y=0, w=512, h=32
Sprite #188: x=32, y=32, w=0, h=0
Sprite #189: x=0, y=0, w=2, h=0
Sprite #190: x=544, y=32, w=32, h=32
Sprite #191: x=0, y=0, w=0, h=0
Sprite #192: x=2, y=0, w=576, h=32
Sprite #193: x=32, y=32, w=0, h=0
Sprite #194: x=0, y=0, w=2, h=0
Sprite #195: x=608, y=32, w=32, h=32
Sprite #196: x=0, y=0, w=0, h=0
Sprite #197: x=2, y=0, w=0, h=0
Sprite #198: x=0, y=0, w=0, h=0
Sprite #199: x=0, y=0, w=0, h=0
Sprite #200: x=0, y=64, w=32, h=32
Sprite #201: x=0, y=0, w=0, h=0
Sprite #202: x=2, y=7, w=32, h=64
Sprite #203: x=32, y=32, w=0, h=0
Sprite #204: x=0, y=0, w=2, h=7
Sprite #205: x=64, y=64, w=32, h=32
Sprite #206: x=0, y=0, w=0, h=0
Sprite #207: x=2, y=0, w=96, h=64
Sprite #208: x=32, y=32, w=0, h=0
Sprite #209: x=0, y=0, w=2, h=7
Sprite #210: x=0, y=0, w=0, h=0
Sprite #211: x=0, y=0, w=0, h=0
Sprite #212: x=0, y=7, w=0, h=0
Sprite #213: x=0, y=0, w=0, h=0
Sprite #214: x=0, y=0, w=0, h=7
Sprite #215: x=0, y=0, w=0, h=0
Sprite #216: x=0, y=0, w=0, h=0
Sprite #217: x=0, y=0, w=0, h=0
Sprite #218: x=0, y=0, w=0, h=0
Sprite #219: x=0, y=0, w=0, h=0
Sprite #220: x=0, y=0, w=0, h=0
Sprite #221: x=0, y=0, w=0, h=0
Sprite #222: x=0, y=0, w=128, h=64
Sprite #223: x=32, y=32, w=0, h=0
Sprite #224: x=0, y=0, w=2, h=0
Sprite #225: x=160, y=64, w=32, h=32
Sprite #226: x=0, y=0, w=0, h=0
Sprite #227: x=2, y=0, w=0, h=0
Sprite #228: x=0, y=0, w=0, h=0
Sprite #229: x=0, y=0, w=0, h=0
Sprite #230: x=0, y=0, w=0, h=0
Sprite #231: x=0, y=0, w=0, h=0
Sprite #232: x=0, y=0, w=192, h=64
Sprite #233: x=32, y=32, w=0, h=0
Sprite #234: x=0, y=0, w=2, h=0
Sprite #235: x=224, y=64, w=32, h=32
Sprite #236: x=0, y=0, w=0, h=0
Sprite #237: x=2, y=0, w=256, h=64
Sprite #238: x=32, y=32, w=0, h=0
Sprite #239: x=0, y=0, w=2, h=0
Sprite #240: x=288, y=64, w=32, h=32
Sprite #241: x=0, y=0, w=0, h=0
Sprite #242: x=2, y=0, w=320, h=64
Sprite #243: x=32, y=32, w=0, h=0
Sprite #244: x=0, y=0, w=2, h=0
Sprite #245: x=352, y=64, w=32, h=32
Sprite #246: x=0, y=0, w=0, h=0
Sprite #247: x=2, y=0, w=0, h=0
Sprite #248: x=0, y=0, w=0, h=0
Sprite #249: x=0, y=0, w=0, h=0
Sprite #250: x=384, y=64, w=32, h=32
Sprite #251: x=0, y=0, w=0, h=0
Sprite #252: x=2, y=7, w=0, h=0
Sprite #253: x=0, y=0, w=0, h=0
Sprite #254: x=0, y=0, w=0, h=7
Sprite #255: x=0, y=0, w=0, h=0
Sprite #256: x=0, y=0, w=0, h=0
