GFX File: Graphics\System.gfx
Sub-sprite Count: 1186

Sprite #000: x=620, y=106, w=18, h=18
Sprite #001: x=1, y=1, w=32, h=32
Sprite #002: x=0, y=0, w=594, h=313
Sprite #003: x=2, y=2, w=0, h=0
Sprite #004: x=2, y=2, w=0, h=0
Sprite #005: x=331, y=271, w=32, h=2
Sprite #006: x=0, y=0, w=32, h=2
Sprite #007: x=0, y=0, w=205, h=329
Sprite #008: x=2, y=2, w=0, h=0
Sprite #009: x=2, y=2, w=0, h=0
Sprite #010: x=638, y=96, w=2, h=18
Sprite #011: x=0, y=0, w=2, h=18
Sprite #012: x=0, y=0, w=542, h=201
Sprite #013: x=32, y=18, w=0, h=0
Sprite #014: x=32, y=18, w=0, h=0
Sprite #015: x=576, y=169, w=2, h=18
Sprite #016: x=0, y=0, w=2, h=18
Sprite #017: x=0, y=0, w=108, h=336
Sprite #018: x=2, y=2, w=0, h=0
Sprite #019: x=2, y=2, w=0, h=0
Sprite #020: x=331, y=273, w=32, h=2
Sprite #021: x=0, y=0, w=32, h=2
Sprite #022: x=0, y=0, w=6, h=353
Sprite #023: x=2, y=2, w=0, h=0
Sprite #024: x=2, y=2, w=0, h=0
Sprite #025: x=597, y=67, w=1, h=1
Sprite #026: x=0, y=0, w=6, h=5
Sprite #027: x=0, y=0, w=405, h=354
Sprite #028: x=3, y=11, w=1, h=1
Sprite #029: x=4, y=12, w=0, h=0
Sprite #030: x=220, y=358, w=6, h=5
Sprite #031: x=1, y=1, w=7, h=12
Sprite #032: x=0, y=0, w=612, h=318
Sprite #033: x=8, y=11, w=1, h=1
Sprite #034: x=9, y=12, w=0, h=0
Sprite #035: x=540, y=320, w=7, h=12
Sprite #036: x=1, y=0, w=8, h=12
Sprite #037: x=0, y=0, w=628, h=181
Sprite #038: x=11, y=11, w=1, h=1
Sprite #039: x=12, y=12, w=0, h=0
Sprite #040: x=631, y=263, w=9, h=11
Sprite #041: x=1, y=1, w=10, h=12
Sprite #042: x=0, y=0, w=378, h=343
Sprite #043: x=3, y=5, w=1, h=1
Sprite #044: x=4, y=12, w=0, h=0
Sprite #045: x=636, y=72, w=4, h=12
Sprite #046: x=1, y=0, w=5, h=12
Sprite #047: x=0, y=0, w=636, h=84
Sprite #048: x=4, y=12, w=1, h=0
Sprite #049: x=5, y=12, w=0, h=0
Sprite #050: x=579, y=278, w=6, h=6
Sprite #051: x=1, y=1, w=7, h=12
Sprite #052: x=0, y=0, w=490, h=333
Sprite #053: x=8, y=8, w=1, h=2
Sprite #054: x=9, y=12, w=0, h=0
Sprite #055: x=337, y=361, w=3, h=5
Sprite #056: x=1, y=8, w=4, h=13
Sprite #057: x=0, y=0, w=575, h=361
Sprite #058: x=5, y=3, w=1, h=6
Sprite #059: x=6, y=12, w=0, h=0
Sprite #060: x=257, y=362, w=3, h=4
Sprite #061: x=1, y=8, w=4, h=12
Sprite #062: x=0, y=0, w=302, h=350
Sprite #063: x=4, y=11, w=1, h=1
Sprite #064: x=5, y=12, w=0, h=0
Sprite #065: x=395, y=322, w=7, h=11
Sprite #066: x=1, y=1, w=8, h=12
Sprite #067: x=0, y=0, w=91, h=341
Sprite #068: x=5, y=11, w=1, h=1
Sprite #069: x=6, y=12, w=0, h=0
Sprite #070: x=402, y=322, w=7, h=11
Sprite #071: x=1, y=1, w=8, h=12
Sprite #072: x=0, y=0, w=590, h=327
Sprite #073: x=7, y=11, w=1, h=1
Sprite #074: x=8, y=12, w=0, h=0
Sprite #075: x=620, y=318, w=8, h=11
Sprite #076: x=1, y=1, w=9, h=12
Sprite #077: x=0, y=0, w=597, h=328
Sprite #078: x=7, y=11, w=1, h=1
Sprite #079: x=8, y=12, w=0, h=0
Sprite #080: x=112, y=329, w=7, h=11
Sprite #081: x=1, y=1, w=8, h=12
Sprite #082: x=0, y=0, w=131, h=329
Sprite #083: x=7, y=11, w=1, h=1
Sprite #084: x=8, y=12, w=0, h=0
Sprite #085: x=198, y=329, w=7, h=11
Sprite #086: x=1, y=1, w=8, h=12
Sprite #087: x=0, y=0, w=604, h=329
Sprite #088: x=7, y=11, w=1, h=1
Sprite #089: x=8, y=12, w=0, h=0
Sprite #090: x=531, y=358, w=3, h=9
Sprite #091: x=1, y=2, w=4, h=12
Sprite #092: x=0, y=0, w=125, h=357
Sprite #093: x=3, y=11, w=1, h=2
Sprite #094: x=4, y=13, w=0, h=0
Sprite #095: x=633, y=136, w=7, h=8
Sprite #096: x=1, y=2, w=8, h=11
Sprite #097: x=0, y=0, w=133, h=348
Sprite #098: x=8, y=6, w=1, h=3
Sprite #099: x=9, y=11, w=0, h=0
Sprite #100: x=404, y=338, w=7, h=9
Sprite #101: x=1, y=2, w=8, h=11
Sprite #102: x=0, y=0, w=517, h=321
Sprite #103: x=8, y=10, w=1, h=1
Sprite #104: x=9, y=11, w=0, h=0
Sprite #105: x=623, y=72, w=13, h=14
Sprite #106: x=1, y=1, w=14, h=15
Sprite #107: x=0, y=0, w=569, h=265
Sprite #108: x=9, y=11, w=1, h=1
Sprite #109: x=10, y=12, w=0, h=0
Sprite #110: x=609, y=265, w=9, h=11
Sprite #111: x=1, y=1, w=10, h=12
Sprite #112: x=0, y=0, w=624, h=251
Sprite #113: x=9, y=12, w=1, h=0
Sprite #114: x=10, y=12, w=0, h=0
Sprite #115: x=552, y=267, w=9, h=11
Sprite #116: x=1, y=1, w=10, h=12
Sprite #117: x=0, y=0, w=628, h=318
Sprite #118: x=8, y=11, w=1, h=1
Sprite #119: x=9, y=12, w=0, h=0
Sprite #120: x=611, y=329, w=7, h=11
Sprite #121: x=1, y=1, w=8, h=12
Sprite #122: x=0, y=0, w=564, h=230
Sprite #123: x=10, y=12, w=1, h=0
Sprite #124: x=11, y=12, w=0, h=0
Sprite #125: x=578, y=267, w=9, h=11
Sprite #126: x=1, y=1, w=10, h=12
Sprite #127: x=0, y=0, w=193, h=357
Sprite #128: x=3, y=11, w=1, h=1
Sprite #129: x=4, y=12, w=0, h=0
Sprite #130: x=618, y=329, w=7, h=11
Sprite #131: x=1, y=1, w=8, h=12
Sprite #132: x=0, y=0, w=618, h=273
Sprite #133: x=9, y=11, w=1, h=1
Sprite #134: x=10, y=12, w=0, h=0
Sprite #135: x=625, y=329, w=7, h=11
Sprite #136: x=1, y=1, w=8, h=12
Sprite #137: x=0, y=0, w=584, h=244
Sprite #138: x=10, y=11, w=1, h=1
Sprite #139: x=11, y=12, w=0, h=0
Sprite #140: x=627, y=274, w=9, h=11
Sprite #141: x=1, y=1, w=10, h=12
Sprite #142: x=0, y=0, w=630, h=230
Sprite #143: x=10, y=12, w=1, h=0
Sprite #144: x=11, y=12, w=0, h=0
Sprite #145: x=432, y=319, w=8, h=11
Sprite #146: x=1, y=1, w=9, h=12
Sprite #147: x=0, y=0, w=574, h=232
Sprite #148: x=10, y=12, w=1, h=0
Sprite #149: x=11, y=12, w=0, h=0
Sprite #150: x=587, y=275, w=9, h=11
Sprite #151: x=1, y=1, w=10, h=12
Sprite #152: x=0, y=0, w=542, h=253
Sprite #153: x=9, y=12, w=1, h=0
Sprite #154: x=10, y=12, w=0, h=0
Sprite #155: x=558, y=319, w=8, h=11
Sprite #156: x=1, y=1, w=9, h=12
Sprite #157: x=0, y=0, w=596, h=275
Sprite #158: x=9, y=11, w=1, h=1
Sprite #159: x=10, y=12, w=0, h=0
Sprite #160: x=312, y=247, w=10, h=11
Sprite #161: x=1, y=1, w=11, h=12
Sprite #162: x=0, y=0, w=620, h=135
Sprite #163: x=13, y=11, w=1, h=1
Sprite #164: x=14, y=12, w=0, h=0
Sprite #165: x=561, y=276, w=9, h=11
Sprite #166: x=1, y=1, w=10, h=12
Sprite #167: x=0, y=0, w=605, h=276
Sprite #168: x=9, y=11, w=0, h=1
Sprite #169: x=9, y=12, w=0, h=0
Sprite #170: x=468, y=278, w=9, h=11
Sprite #171: x=1, y=1, w=10, h=12
Sprite #172: x=0, y=0, w=112, h=340
Sprite #173: x=5, y=12, w=1, h=0
Sprite #174: x=6, y=12, w=0, h=0
Sprite #175: x=508, y=341, w=5, h=11
Sprite #176: x=1, y=1, w=6, h=12
Sprite #177: x=0, y=0, w=306, h=288
Sprite #178: x=4, y=12, w=1, h=0
Sprite #179: x=5, y=12, w=0, h=0
Sprite #180: x=468, y=289, w=7, h=7
Sprite #181: x=1, y=0, w=8, h=7
Sprite #182: x=0, y=0, w=308, h=361
Sprite #183: x=9, y=2, w=1, h=10
Sprite #184: x=10, y=12, w=0, h=0
Sprite #185: x=260, y=362, w=4, h=3
Sprite #186: x=1, y=1, w=5, h=12
Sprite #187: x=0, y=0, w=411, h=338
Sprite #188: x=7, y=9, w=1, h=3
Sprite #189: x=8, y=12, w=0, h=0
Sprite #190: x=566, y=319, w=8, h=11
Sprite #191: x=1, y=1, w=9, h=12
