GFX File: Graphics\TitleSprites.gfx
Sub-sprite Count: 296

Sprite #000: x=0, y=0, w=640, h=480
Sprite #001: x=0, y=0, w=640, h=480
Sprite #002: x=0, y=0, w=524, h=1118
Sprite #003: x=100, y=49, w=50, h=0
Sprite #004: x=198, y=49, w=0, h=0
Sprite #005: x=400, y=1118, w=124, h=49
Sprite #006: x=40, y=0, w=198, h=49
Sprite #007: x=0, y=0, w=400, h=1167
Sprite #008: x=82, y=49, w=60, h=0
Sprite #009: x=198, y=49, w=0, h=0
Sprite #010: x=314, y=1080, w=248, h=38
Sprite #011: x=0, y=0, w=248, h=38
Sprite #012: x=0, y=0, w=482, h=1167
Sprite #013: x=124, y=19, w=0, h=0
Sprite #014: x=124, y=19, w=0, h=0
Sprite #015: x=562, y=1211, w=53, h=21
Sprite #016: x=0, y=0, w=53, h=21
Sprite #017: x=0, y=0, w=487, h=1265
Sprite #018: x=53, y=21, w=0, h=0
Sprite #019: x=53, y=21, w=0, h=0
Sprite #020: x=540, y=1265, w=53, h=21
Sprite #021: x=0, y=0, w=53, h=21
Sprite #022: x=0, y=0, w=0, h=1484
Sprite #023: x=640, y=103, w=0, h=0
Sprite #024: x=640, y=103, w=0, h=0
Sprite #025: x=0, y=480, w=640, h=386
Sprite #026: x=0, y=0, w=640, h=386
Sprite #027: x=0, y=0, w=576, h=866
Sprite #028: x=25, y=25, w=0, h=0
Sprite #029: x=25, y=25, w=0, h=0
Sprite #030: x=576, y=891, w=25, h=25
Sprite #031: x=0, y=0, w=25, h=25
Sprite #032: x=0, y=0, w=0, h=1587
Sprite #033: x=448, y=25, w=0, h=0
Sprite #034: x=448, y=25, w=0, h=0
Sprite #035: x=482, y=1186, w=94, h=25
Sprite #036: x=0, y=0, w=94, h=25
Sprite #037: x=0, y=0, w=314, h=1118
Sprite #038: x=86, y=86, w=0, h=0
Sprite #039: x=86, y=86, w=0, h=0
Sprite #040: x=400, y=1288, w=17, h=11
Sprite #041: x=0, y=0, w=17, h=11
Sprite #042: x=0, y=0, w=0, h=866
Sprite #043: x=314, y=344, w=0, h=0
Sprite #044: x=314, y=344, w=0, h=0
Sprite #045: x=314, y=866, w=262, h=107
Sprite #046: x=0, y=0, w=262, h=107
Sprite #047: x=0, y=0, w=352, h=1265
Sprite #048: x=84, y=23, w=1, h=1
Sprite #049: x=86, y=25, w=0, h=0
Sprite #050: x=314, y=973, w=262, h=107
Sprite #051: x=0, y=0, w=262, h=107
Sprite #052: x=0, y=0, w=432, h=1240
Sprite #053: x=85, y=25, w=0, h=0
Sprite #054: x=85, y=25, w=0, h=0
Sprite #055: x=517, y=1240, w=85, h=25
Sprite #056: x=0, y=0, w=85, h=25
Sprite #057: x=0, y=0, w=482, h=1211
Sprite #058: x=80, y=29, w=0, h=0
Sprite #059: x=80, y=29, w=0, h=0
Sprite #060: x=562, y=1080, w=51, h=29
Sprite #061: x=0, y=0, w=51, h=29
Sprite #062: x=0, y=0, w=436, h=1265
Sprite #063: x=51, y=29, w=0, h=0
Sprite #064: x=51, y=29, w=0, h=0
Sprite #065: x=352, y=1216, w=80, h=29
Sprite #066: x=0, y=0, w=80, h=29
Sprite #067: x=0, y=0, w=601, h=901
Sprite #068: x=17, y=17, w=3, h=5
Sprite #069: x=49, y=24, w=0, h=0
Sprite #070: x=576, y=916, w=17, h=17
Sprite #071: x=3, y=5, w=49, h=24
Sprite #072: x=0, y=0, w=593, h=918
Sprite #073: x=17, y=17, w=3, h=5
Sprite #074: x=49, y=24, w=0, h=0
Sprite #075: x=576, y=935, w=17, h=17
Sprite #076: x=3, y=5, w=49, h=24
Sprite #077: x=0, y=0, w=606, h=1167
Sprite #078: x=16, y=17, w=17, h=0
Sprite #079: x=49, y=24, w=0, h=0
Sprite #080: x=593, y=935, w=17, h=17
Sprite #081: x=16, y=0, w=49, h=24
Sprite #082: x=0, y=0, w=576, h=952
Sprite #083: x=17, y=17, w=16, h=0
Sprite #084: x=49, y=24, w=0, h=0
Sprite #085: x=593, y=952, w=17, h=17
Sprite #086: x=16, y=0, w=49, h=24
Sprite #087: x=0, y=0, w=576, h=969
Sprite #088: x=17, y=17, w=24, h=1
Sprite #089: x=49, y=24, w=0, h=0
Sprite #090: x=593, y=969, w=17, h=17
Sprite #091: x=24, y=1, w=49, h=24
Sprite #092: x=0, y=0, w=576, h=986
Sprite #093: x=17, y=17, w=24, h=1
Sprite #094: x=49, y=24, w=0, h=0
Sprite #095: x=593, y=986, w=17, h=17
Sprite #096: x=24, y=1, w=49, h=24
Sprite #097: x=0, y=0, w=576, h=1003
Sprite #098: x=17, y=17, w=31, h=0
Sprite #099: x=49, y=24, w=0, h=0
Sprite #100: x=593, y=1003, w=17, h=17
Sprite #101: x=31, y=0, w=49, h=24
Sprite #102: x=0, y=0, w=576, h=1020
Sprite #103: x=17, y=17, w=31, h=0
Sprite #104: x=49, y=24, w=0, h=0
Sprite #105: x=593, y=1020, w=17, h=17
Sprite #106: x=31, y=0, w=49, h=24
Sprite #107: x=0, y=0, w=576, h=1037
Sprite #108: x=17, y=17, w=29, h=5
Sprite #109: x=49, y=24, w=0, h=0
Sprite #110: x=593, y=1037, w=17, h=17
Sprite #111: x=29, y=5, w=49, h=24
Sprite #112: x=0, y=0, w=576, h=1054
Sprite #113: x=17, y=17, w=29, h=5
Sprite #114: x=49, y=24, w=0, h=0
Sprite #115: x=593, y=1054, w=17, h=17
Sprite #116: x=29, y=5, w=49, h=24
Sprite #117: x=0, y=0, w=576, h=1186
Sprite #118: x=17, y=17, w=15, h=1
Sprite #119: x=49, y=24, w=0, h=0
Sprite #120: x=593, y=1186, w=17, h=17
Sprite #121: x=15, y=1, w=49, h=24
Sprite #122: x=0, y=0, w=432, h=1216
Sprite #123: x=17, y=17, w=15, h=1
Sprite #124: x=49, y=24, w=0, h=0
Sprite #125: x=449, y=1216, w=17, h=17
Sprite #126: x=15, y=1, w=49, h=24
Sprite #127: x=0, y=0, w=602, h=1232
Sprite #128: x=17, y=17, w=8, h=1
Sprite #129: x=49, y=24, w=0, h=0
